fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
8,30,52,42,117,98,78,78,36,46.15,66.67,79.59,78,78,60,39,21,23,47,92.02,23.6,57.68,1.9201531249424142
15,30,55,42,97,69,61,61,28,45.9,62.89,88.41,61,61,45,36,9,24,24,90.61,23.26,56.55,1.906072331225909
10,30,55,42,95,83,67,67,31,46.27,70.53,80.72,67,67,45,28,17,16,38,90.04,24.28,55.53,1.9004495389924325
12,30,52,42,94,90,71,71,34,47.89,75.53,78.89,71,71,43,23,20,17,45,91.46,26.09,55.43,1.9145751766074883
12,40,52,42,89,71,62,62,29,46.77,69.66,87.32,62,62,37,27,10,7,20,88.61,24.24,54.33,1.8860879888557769
8,40,52,42,110,93,70,70,32,45.71,63.64,75.27,70,70,62,39,23,29,48,88.22,23.06,53.86,1.8822389929503685
10,40,52,42,94,87,68,68,31,45.59,72.34,78.16,68,68,46,26,20,18,42,83.58,22.85,50.92,1.8357964113479954
12,20,52,42,115,99,78,78,35,44.87,67.83,78.79,78,78,59,37,22,26,49,81.64,22.84,48.35,1.8164469967821582
8,30,55,42,100,89,74,74,33,44.59,74.0,83.15,74,74,42,26,16,17,35,78.02,24.39,44.0,1.7801519034147746
15,20,55,42,101,86,68,68,30,44.12,67.33,79.07,68,68,52,33,19,18,43,79.1,24.4,43.87,1.7910020554923312
15,20,52,42,118,99,75,75,32,42.67,63.56,75.76,75,75,68,43,25,23,55,77.52,26.51,39.03,1.7752282301508404
5,40,52,42,120,108,81,81,36,44.44,67.5,75.0,81,81,67,39,28,28,64,78.23,29.66,36.51,1.7822559454433198
5,30,52,42,136,116,87,87,37,42.53,63.97,75.0,87,87,79,49,30,38,68,73.53,25.89,35.81,1.735320700556049
10,30,52,42,105,99,77,77,33,42.86,73.33,77.78,77,77,51,28,23,18,51,68.23,28.53,28.88,1.6822755819648627
